area,tourist_visits,vehicles,schools,parks,roads,lat,lon,vehicle_index,bike_index,pedestrian_index
"AVESA",0,2869,7,21,46,45.470006,10.988989,12.74,30.08,7.82
"BORGO MILANO",0,26536,42,145,139,45.441871,10.965725,85.62,61.15,44.28
"BORGO ROMA",0,20552,28,152,166,45.407594,10.990223,72.87,71.27,39.55
"BORGO TRENTO",0,10811,5,59,78,45.448675,10.986474,37.28,39.54,13.07
"BORGO VENEZIA",0,23446,22,125,155,45.444839,11.025173,79.26,59.65,32.73
"CA' DI DAVID",0,8417,5,55,80,45.381925,10.994517,31.19,40.43,12.61
"CITTA' ANTICA",26671,7142,10,41,267,45.442612,10.996532,48.84,61.76,70.16
"CITTADELLA",6615,5832,18,74,133,45.434729,10.991881,30.33,54.95,35.69
"GOLOSINE",0,15781,12,99,120,45.417752,10.965653,55.11,53.15,23.23
"MIZZOLE",0,1703,2,33,41,45.477896,11.059183,9.1,33.86,6.83
"MONTORIO",0,4888,7,46,53,45.457332,11.059537,18.85,36.88,11.37
"PARONA",0,4388,6,60,53,45.473382,10.946858,17.53,41.4,12.74
"PONTE CRENCANO",0,7538,7,38,62,45.46053,10.979558,26.85,33.7,10.66
"PORTO S. PANCRAZIO",0,6439,6,71,61,45.432886,11.017409,23.84,44.16,14.48
"QUINTO",0,5866,7,61,53,45.487572,11.016727,21.43,40.59,13.34
"QUINZANO",0,4106,3,27,48,45.463665,10.96978,16.22,31.19,6.78
"S. LUCIA",0,8684,9,46,62,45.417815,10.948426,29.87,35.2,12.66
"S. MARIA IN STELLE",0,1707,3,19,23,45.489453,11.035826,7.09,27.35,4.79
"S. MASSIMO",0,12775,11,69,103,45.443135,10.933724,45.27,44.3,18.17
"S. MICHELE",0,13770,14,93,96,45.430012,11.049873,47.11,49.74,22.5
"S. ZENO",1272,7932,12,83,110,45.440502,10.980916,33.28,53.01,23.14
"VALDONEGA",0,3659,7,28,58,45.455259,11.003112,16.17,33.13,9.19
"VERONETTA",3736,7227,23,57,144,45.443708,11.004613,35.24,50.3,30.85
